,new team,stars,year
319,Trinity Valley Community College,2.0,2012
320,Triton College,2.0,2012
321,Tulsa,2.0,2012
322,Tyler Junior College,2.3,2012
323,UAB,2.0,2012
324,UC Davis,4.5,2012
325,UC Irvine,3.0,2012
326,UIC,7.5,2012
327,UMass-Lowell,2.0,2012
328,UNCG,6.3,2012
329,UNCW,3.0,2012
330,UNLV,4.0,2012
331,USC,7.0,2012
332,USC-Aiken,12.0,2012
333,UT Arlington,2.5,2012
334,UTEP,2.5,2012
335,UTSA,2.5,2012
336,University of Arkansas-Fort Smith,4.3,2012
337,University of Bridgeport,4.0,2012
338,University of Central Oklahoma,2.0,2012
339,University of Chicago,2.0,2012
340,University of La Verne,2.0,2012
341,University of Mary,2.0,2012
342,University of Mobile,2.0,2012
343,University of North Alabama,6.0,2012
344,University of Pikeville,4.3,2012
345,University of Sioux Falls,2.0,2012
346,University of St. Thomas,2.0,2012
347,University of Texas the Permain Basin,2.0,2012
348,University of West Alabama,2.0,2012
349,University of West Florida,4.0,2012
350,University of Wisconsin-La Crosse,2.0,2012
351,University of Wisconsin-Stevens Point,2.0,2012
352,University of the District of Columbia,4.0,2012
353,Upper Iowa University,2.0,2012
354,Urbana University,2.5,2012
355,Utah,4.0,2012
356,Utah State,2.0,2012
357,Utah Valley,2.0,2012
358,Valdosta State University,4.0,2012
359,Valparaiso,5.6,2012
360,Vanderbilt,2.0,2012
361,Vermont,6.8,2012
362,Villanova,5.3,2012
363,Vincennes University,2.0,2012
364,Virginia,3.7,2012
365,Virginia State University,6.0,2012
366,Virginia Tech,2.3,2012
367,Volunteer State Community College,2.0,2012
368,Wabash Valley College,2.0,2012
369,Wagner,2.7,2012
370,Walla Walla Community College,2.0,2012
371,Walsh University,4.0,2012
372,Washington,4.0,2012
373,Washington State,5.7,2012
374,Wayne State University,2.0,2012
375,West Chester University,2.0,2012
376,West Virginia,3.5,2012
377,Western Nebraska Community College,2.7,2012
378,Western Oregon University,2.0,2012
379,Western State Colorado University,2.0,2012
380,Wichita State,2.0,2012
381,Williams College,2.0,2012
382,Wingate Universty,2.0,2012
383,Wyoming,3.7,2012
384,Xavier,2.0,2012
385,Xavier University of Louisiana,2.0,2012
386,Adelphi University,2.0,2013
387,Alabama,4.3,2013
388,Albany State University,2.0,2013
389,Alcorn State,3.0,2013
390,Alderson-Broaddus College,2.0,2013
391,Allan Hancock College,2.0,2013
392,American,4.7,2013
393,Angelina College,2.0,2013
394,Appalachian State,3.0,2013
395,Arizona,3.0,2013
396,Arizona State,5.0,2013
397,Arizona Western College,2.7,2013
398,Arkansas,3.0,2013
399,Arkansas State,8.1,2013
400,Arkansas Tech University,2.0,2013
401,Asa College,3.0,2013
402,Ashland University,2.0,2013
403,Azusa Pacific University,2.0,2013
404,Barry University,6.0,2013
405,Barton County Community College,2.0,2013
406,Baton Rouge Community College,2.0,2013
407,Baylor,2.0,2013
408,Bellarmine University,4.7,2013
409,Belmont,2.7,2013
410,Benedict College,2.0,2013
411,Benedictine University,2.0,2013
412,Bethel University,2.0,2013
413,Blinn College,6.0,2013
414,Bob Jones University,2.0,2013
415,Boston University,5.3,2013
416,Bowie State University,4.0,2013
417,Bradley,4.0,2013
418,Brigham Young,3.0,2013
419,Brunswick Community College,2.0,2013
420,Bryant,2.0,2013
421,Buffalo,4.8,2013
422,Cal Poly Pomona,2.0,2013
423,Cal State Bakersfield,2.0,2013
424,Cal State Dominquez Hills,2.0,2013
425,Cal State Fullerton,5.0,2013
426,Cal State Los Angeles,6.0,2013
427,Cal State Northridge,14.0,2013
428,Cal State San Bernardino,2.0,2013
429,California Baptist University,2.0,2013
430,"California State University, San Bernardino",4.3,2013
431,"California State University, San Marcos",6.3,2013
432,California State University-East Bay,2.0,2013
433,California University of Pennsylvania,2.0,2013
434,Cameron University,6.0,2013
435,Campbell,5.0,2013
436,Campbellsville University,4.0,2013
437,Canisius,3.0,2013
438,Cape Fear Community College,2.0,2013
439,Carson–Newman University,2.0,2013
440,Case Western Reserve University,2.0,2013
441,Casper College,2.0,2013
442,Central Arizona College,4.0,2013
443,Central Washington University,2.0,2013
444,Chaminade University,8.0,2013
445,Charlotte,10.0,2013
446,Chattanooga,2.7,2013
447,Chicago State,2.0,2013
448,Christopher Newport University,2.0,2013
449,Citrus College,2.3,2013
450,City College of San Francisco,4.0,2013
451,Clark Atlanta University,2.0,2013
452,Clark Community College,2.0,2013
453,Cleveland State,4.3,2013
454,Cloud County Community College,4.0,2013
455,Coastal Carolina,6.7,2013
456,Coffeyville Community College,2.0,2013
457,Coker College,2.0,2013
458,College of Central Florida,3.0,2013
459,College of Southern Idaho,4.0,2013
460,College of the Canyons,2.0,2013
461,Colorado State,6.7,2013
462,Colorado State University-Pueblo,2.0,2013
463,Columbia State Community College,2.0,2013
464,Columbus State Community College,2.0,2013
465,Columbus State University,2.0,2013
466,Concordia University Wisconsin,2.0,2013
467,"Concordia University, St. Paul",2.5,2013
468,Connecticut,6.7,2013
469,Connors State College,2.0,2013
470,Daytona State College,2.0,2013
471,DePaul,6.5,2013
472,DePauw University,2.0,2013
473,Delaware,2.0,2013
474,Delaware State,2.0,2013
475,Delta State University,2.0,2013
476,Detroit Mercy,2.3,2013
477,Dixie State University,4.0,2013
478,Drake,2.3,2013
479,Drexel,2.3,2013
480,Duquesne,2.0,2013
481,East Carolina,5.7,2013
482,East Central University,4.0,2013
483,East Georgia State College,3.0,2013
484,East Mississippi Community College,6.7,2013
485,East Stroudsburg University,2.0,2013
486,Eastern Illinois,4.7,2013
487,Eastern Michigan,2.7,2013
488,Eastern New Mexico University,2.0,2013
489,Eastern Oregon University,2.0,2013
490,Elizabeth City State College,2.0,2013
491,Elizabeth City State University,2.0,2013
492,Emmanuel College,2.0,2013
493,Emporia State University,2.0,2013
494,Evansville,2.7,2013
495,Fair State Community College,2.3,2013
496,Fairfield,3.7,2013
497,Fairleigh Dickinson,2.5,2013
498,Fairmont State University,6.0,2013
499,Ferris State University,2.0,2013
500,Flagler College,4.0,2013
501,Florida,2.7,2013
502,Florida Gulf Coast,9.3,2013
503,Florida International,5.0,2013
504,Florida Southern College,2.0,2013
505,Fort Hays State University,2.0,2013
506,Fort Lewis College,2.0,2013
507,Fort Valley State University,2.0,2013
508,Francis Marion University,8.0,2013
509,Frank Phillips College,2.0,2013
510,Fresno Pacific University,6.0,2013
511,Fresno State,4.0,2013
512,Full-Time Hoops,2.0,2013
513,Furman,4.0,2013
514,GCU,8.6,2013
515,Gannon University,2.0,2013
516,Gardner–Webb,4.0,2013
517,Garrett College,2.0,2013
518,George Mason,3.7,2013
519,George Washington,6.0,2013
520,Georgetown,4.3,2013
521,Georgetown College,4.0,2013
522,Georgia Perimeter College,2.0,2013
523,Georgia Southern,2.3,2013
524,Georgia Southwestern State University,2.0,2013
525,Georgia State,4.7,2013
526,Georgia Tech,6.0,2013
527,Georgian Court University,4.0,2013
528,Goldey-Beacom College,4.0,2013
529,Gonzaga,8.0,2013
530,Grace College,2.0,2013
531,Grambling State,4.0,2013
532,Green Bay,2.3,2013
533,Hampton,2.0,2013
534,Harding University,4.0,2013
535,Hartford,2.0,2013
536,Hawai'l Pacific University,2.0,2013
537,Hawaii,2.7,2013
538,Henderson State University,2.0,2013
539,High Point,2.7,2013
540,Hillsdale College,2.0,2013
541,Hofstra,10.3,2013
542,Holy Family University,2.0,2013
543,Houston,6.0,2013
544,Houston Baptist,2.0,2013
545,Howard College,2.0,2013
546,Humboldt State University,2.0,2013
547,IUPUI,6.0,2013
548,Idaho,2.0,2013
549,Illinois,9.7,2013
550,Illinois Wesleyan University,5.3,2013
551,Incarnate Word,2.0,2013
552,Independence Community College,2.0,2013
553,Indian Hills Community College,4.0,2013
554,Indiana,2.5,2013
555,Indiana University of Pennsylvania,2.3,2013
556,Indiana Wesleyan University,2.0,2013
557,Iona,6.7,2013
558,Iowa State,5.7,2013
559,Iowa Western Community College,2.0,2013
560,Itawamba Community College,2.5,2013
561,Jackson State,2.0,2013
562,Jacksonville,3.7,2013
563,Jacksonville State,2.0,2013
564,John A. Logan College,2.0,2013
565,Jones County Community College,2.0,2013
566,Kansas,8.0,2013
567,Kansas City,4.0,2013
568,Kansas State,5.0,2013
569,Kennesaw State,2.5,2013
570,Kent State,2.0,2013
571,Kentucky Wesleyan College,5.0,2013
572,Kilgore Junior College,2.0,2013
573,King University,2.0,2013
574,Kirkwood Community College,2.0,2013
575,LSU,2.0,2013
576,La Salle,6.7,2013
577,Lake Forest College,2.0,2013
578,Lake Land College,2.0,2013
579,Lander University,2.0,2013
580,Laramie County Community College,2.0,2013
581,LeMoyne-Owen College,2.0,2013
582,Lee College,6.3,2013
583,Lehigh,4.0,2013
584,Lenior-Rhyne University,2.0,2013
585,Lincoln Trail College,2.3,2013
586,Lindenwood University,2.0,2013
587,Livingstone College,2.0,2013
588,Long Beach State,4.0,2013
589,Long Island University-Post,10.3,2013
590,Longwood,4.0,2013
591,Louisburg College,2.0,2013
592,Louisiana State University in Shreveport,6.0,2013
593,Louisiana Tech,2.3,2013
594,Loyola Chicago,2.5,2013
595,Loyola Marymount,2.0,2013
596,Lubbock Christian University,4.0,2013
597,Lynn University,6.0,2013
598,Malone University,2.0,2013
599,Maryland,2.7,2013
600,Marymount Universty,2.0,2013
601,Massachusetts,4.0,2013
602,McLennan Community College,2.0,2013
603,McMurry University,2.0,2013
604,McNeese State,2.0,2013
605,Memphis,5.0,2013
606,Mercyhurst University,4.5,2013
607,Merrimack College,2.0,2013
608,Merritt College,2.7,2013
609,Mesa Community College,2.0,2013
610,Messiah College,2.0,2013
611,Metro State University,4.0,2013
612,Miami,10.5,2013
613,Miami (OH),7.7,2013
614,Miami Dade College,2.0,2013
615,Midland College,4.7,2013
616,Millersville University,2.0,2013
617,Milwaukee,4.0,2013
618,Mineral Area College,2.0,2013
619,Minnesota,4.0,2013
620,Minnesota State University Moorhead,2.0,2013
621,Minot State University,2.0,2013
622,MiraCoste College,2.0,2013
623,Mississippi College,2.0,2013
624,Mississippi Gulf Coast Community College,2.0,2013
625,Missouri,8.0,2013
626,Missouri Southern State University,4.0,2013
627,Missouri State,2.0,2013
628,Moberly Area Community College,2.0,2013
629,Montana,4.7,2013
630,Montana State University Billings,4.0,2013
631,Morehead State,9.8,2013
632,Motlow State Community College,2.0,2013
633,Mount St. Mary's,2.0,2013
634,Mt. San Antonio College,2.0,2013
635,Murray State,5.7,2013
636,NC State,4.3,2013
637,Navarro College,2.0,2013
638,New Hampshire,2.0,2013
639,New Mexico Junior College,2.3,2013
640,New Mexico Military Institute,4.3,2013
641,New Orleans,4.0,2013
642,New York Institute of Technology,4.0,2013
643,Newberry College,2.0,2013
644,Newman University,2.0,2013
645,Niagara,4.0,2013
646,Norfolk State,4.0,2013
647,North Carolina Central,8.7,2013
648,North Dakota,4.7,2013
649,North Florida,2.0,2013
650,North Idaho College,2.0,2013
651,North Texas,5.2,2013
652,Northern Colorado,2.0,2013
653,Northern Illinois,8.3,2013
654,Northern Iowa,3.3,2013
655,Northern Kentucky,2.0,2013
656,Northern Michigan University,2.0,2013
657,Northwest Christian University,9.0,2013
658,Northwest Florida State College,11.7,2013
659,Northwood,2.0,2013
660,Northwood University (Michigan),5.3,2013
661,Northwood University (Texas),2.0,2013
662,Nova Southeastern University,4.0,2013
663,Odessa College,16.8,2013
664,Ohio,3.3,2013
665,Oklahoma Baptist University,2.0,2013
666,Old Dominion,2.0,2013
667,Omaha,2.3,2013
668,Oral Roberts,2.0,2013
669,Oregon,10.7,2013
670,Ouachita Baptist University,2.0,2013
671,Our Lady of the Lake University,2.0,2013
672,Pace University,4.0,2013
673,Paine College,2.0,2013
674,Palm Beach Atlantic University,2.0,2013
675,Palm Beach State College,2.0,2013
676,Paul Quinn College,2.0,2013
677,Penn State,7.8,2013
678,Pensacola State College,4.0,2013
679,Philadelphia University,2.0,2013
680,Phoenix College,2.0,2013
681,Pittsburgh,3.0,2013
682,Polk State College,2.3,2013
683,Portland,2.0,2013
684,Portland State,2.0,2013
685,Prince George's Community College,2.0,2013
686,Providence,3.0,2013
687,Purdue,4.0,2013
688,Purdue Fort Wayne,2.0,2013
689,Queens University of Charlotte,4.0,2013
690,Quinnipiac,2.0,2013
691,Rhode Island College,2.0,2013
692,Richmond,2.0,2013
693,Rider,6.3,2013
694,Riverside City College,4.3,2013
695,Robert Morris University-Illinois,2.0,2013
696,Rogers State University,2.0,2013
697,Rollins College,2.0,2013
698,Rutgers,6.4,2013
699,Rutgers University-Camden,2.0,2013
700,Ryerson University,3.0,2013
701,SIUE,2.0,2013
702,Saddleback College,4.0,2013
703,Saint Joseph's,3.0,2013
704,Saint Louis,3.3,2013
705,Saint Mary's,3.3,2013
706,San Diego,2.0,2013
707,San Diego State,8.5,2013
708,San Francisco,4.6,2013
709,San Jacinto College,2.0,2013
710,San José State,4.0,2013
711,Santa Barbara City College,2.0,2013
712,Santa Clara,2.5,2013
713,Santa Fe Community College,2.0,2013
714,Seattle,2.5,2013
715,Seattle Pacific University,4.0,2013
716,Shaw University,2.0,2013
717,Shelton State Community College,2.0,2013
718,Sheridan College,3.0,2013
719,Shorter University,6.0,2013
720,Siena,2.0,2013
721,Sinclair Community College,2.0,2013
722,Slippery Rock University of Pennsylvania,4.0,2013
723,Snead State Community College,2.0,2013
724,Sonoma State University,2.0,2013
725,South Carolina,4.0,2013
726,South Dakota State,3.7,2013
727,South Georgia Technical College,2.0,2013
728,South Plains College,4.5,2013
729,Southeast Missouri State,2.7,2013
730,Southeastern Oklahoma State University,2.0,2013
731,Southeastern University,2.0,2013
732,Southern,5.3,2013
733,Southern Illinois,2.3,2013
734,Southern Wesleyan University,2.0,2013
735,Southwest Baptist University,2.0,2013
736,Southwest Mississippi Community College,7.0,2013
737,Southwest Tennessee Community College,2.0,2013
738,Southwestern Illinois College,6.0,2013
739,Spring Hill College,2.0,2013
740,St. Catharine College,2.0,2013
741,St. Edward's University,2.0,2013
742,St. Edwards's University,2.0,2013
743,St. Mary's University,4.0,2013
744,St. Nobert College,2.3,2013
745,State College of Florida,2.0,2013
746,Stetson,4.0,2013
747,Stonehill College,2.0,2013
748,Sullivan County Community College,2.0,2013
749,TCU,7.0,2013
750,Tallahassee Community College,4.3,2013
751,Temple,3.0,2013
752,Tennessee,2.3,2013
753,Texas A&M - Kingsville,2.0,2013
754,Texas A&M International University,2.0,2013
755,Texas A&M–Corpus Christi,2.0,2013
756,Texas Southern,6.3,2013
757,Texas Wesleyan University,6.0,2013
758,Texas–Rio Grande Valley,11.0,2013
759,Three Rivers College,2.0,2013
760,Tiffin University,2.0,2013
761,Towson,3.0,2013
762,Trinity Valley Community College,4.3,2013
763,Troy,2.0,2013
764,Tufts University,2.0,2013
765,Tyler Junior College,2.0,2013
766,UAB,4.0,2013
767,UIC,2.0,2013
768,UMBC,2.0,2013
769,UNCW,5.5,2013
770,UNLV,2.0,2013
771,USC,12.3,2013
772,USC-Aiken,2.0,2013
773,UT Arlington,2.0,2013
774,UT Martin,2.0,2013
775,UTEP,2.5,2013
776,University of Alaska Anchorage,2.0,2013
777,University of Alaska Fairbanks,2.0,2013
778,University of Arkansas Fort Smith,3.0,2013
779,University of Arkansas at Monticello,2.0,2013
780,University of Central Missouri,2.5,2013
781,University of Central Oklahoma,2.0,2013
782,University of Charleston,2.0,2013
783,University of Findlay,2.0,2013
784,University of Illinois at Springfield,2.0,2013
785,University of Indianapolis,2.0,2013
786,University of Mobile,2.0,2013
787,University of Montevallo,2.0,2013
788,University of Pikeville,12.3,2013
789,University of Pittsburgh at Johnstown,2.0,2013
790,University of Saskatchewan,2.0,2013
791,University of Southern Indiana,2.3,2013
792,University of St. Thomas,2.0,2013
793,University of Toronto,2.0,2013
794,University of West Alabama,4.0,2013
795,University of West Florida,2.5,2013
796,University of Windsor,2.0,2013
797,University of Wisconsin-Parkside,2.0,2013
798,University of the Cumberlands,2.0,2013
799,Urbana University,2.0,2013
800,Utah State,2.0,2013
801,VCU,3.5,2013
802,Valdosta State University,4.0,2013
803,Valparaiso,7.7,2013
804,Vanguard University,4.0,2013
805,Virginia State University,4.0,2013
806,Wabash Valley College,4.0,2013
807,Wake Forest,2.0,2013
808,Walters State Community College,2.0,2013
809,Washburn University,4.3,2013
810,Washington,4.0,2013
811,Wayland Baptist University,2.0,2013
812,Wayne State College,2.0,2013
813,Wesleyan University,2.0,2013
814,West Chester University of Pennsylvania,2.0,2013
815,West Texas A&M University,2.0,2013
816,West Virginia,2.0,2013
817,Western Kentucky,5.2,2013
818,Western Oregon University,2.0,2013
819,Western Washington University,4.5,2013
820,Westminster College,2.0,2013
821,Wiley College,2.0,2013
822,Winona State University,2.0,2013
823,Winston-Salem State University,6.0,2013
824,Winthrop,2.0,2013
825,Wright State,2.7,2013
826,Wyoming,2.0,2013
827,Xavier,2.7,2013
828,Xavier University of Louisiana,4.0,2013
829,Young Harris College,2.0,2013
830,Adams State University,4.0,2014
831,Adelphi University,2.0,2014
832,Alderson Broaddus University,2.0,2014
833,American,4.0,2014
834,American International College,2.0,2014
835,Amherst College,4.0,2014
836,Angelina College,2.0,2014
837,Angelo State University,6.6,2014
838,Arizona,3.3,2014
839,Arizona Christian University,2.0,2014
840,Arkansas,2.0,2014
841,Arkansas State,2.0,2014
