,teamName,stars,year
806,Wabash Valley College,4,2014
807,Wake Forest,2,2014
808,Walters State Community College,2,2014
809,Washburn University,4.3,2014
810,Washington,4,2014
811,Wayland Baptist University,2,2014
812,Wayne State College,2,2014
813,Wesleyan University,2,2014
814,West Chester University of Pennsylvania,2,2014
815,West Texas A&M University,2,2014
816,West Virginia,2,2014
817,Western Kentucky,5.2,2014
818,Western Oregon University,2,2014
819,Western Washington University,4.5,2014
820,Westminster College,2,2014
821,Wiley College,2,2014
822,Winona State University,2,2014
823,Winston-Salem State University,6,2014
824,Winthrop,2,2014
825,Wright State,2.7,2014
826,Wyoming,2,2014
827,Xavier,2.7,2014
828,Xavier University of Louisiana,4,2014
829,Young Harris College,2,2014
830,Adams State University,4,2015
831,Adelphi University,2,2015
832,Alderson Broaddus University,2,2015
833,American,4,2015
834,American International College,2,2015
835,Amherst College,4,2015
836,Angelina College,2,2015
837,Angelo State University,6.6,2015
838,Arizona,3.3,2015
839,Arizona Christian University,2,2015
840,Arkansas,2,2015
841,Arkansas State,2,2015
842,Arkansas Tech University,8.3,2015
843,Armstrong State University,4,2015
844,Assumption College,6,2015
845,Auburn,7.7,2015
846,Ball State,5,2015
847,Barry University,6,2015
848,Baton Rouge Community College,2,2015
849,Baylor,2,2015
850,Bellarmine University,6.3,2015
851,Bethel College,2,2015
852,Bethune–Cookman,10,2015
853,Blinn College,4,2015
854,Boston College,4.6,2015
855,Bowie State University,6,2015
856,Brigham Young,5,2015
857,Brigham Young University-Hawaii,2,2015
858,Brigham Young University–Hawaii,4,2015
859,Broward College,2,2015
860,Brunswick Community College,2,2015
861,Bryant & Stratton College,2,2015
862,Buffalo,2,2015
863,Butler,7,2015
864,Butler Community College,2,2015
865,Cal Poly,2.3,2015
866,Cal State Bakersfield,5,2015
867,Cal State Fullerton,4,2015
868,California,2,2015
869,California Baptist University,4,2015
870,"California State Polytechnic University, Pomona",2,2015
871,California State University San Marcos,2,2015
872,"California State University, Dominguez Hills",2.3,2015
873,"California State University, East Bay",2,2015
874,"California State University, Los Angeles",2.3,2015
875,"California State University, San Bernardino",4,2015
876,"California State University, San Marcos",4,2015
877,Cameron University,2,2015
878,Campbell,2,2015
879,Campbellsville University,6.3,2015
880,Cape Fear Community College,2,2015
881,Carnegie Mellon University,2,2015
882,Carroll University,2,2015
883,Casper College,4,2015
884,Castleton State College,2,2015
885,Catawba College,4,2015
886,Central Arizona College,2,2015
887,Central Arkansas,6,2015
888,Central Connecticut State,2,2015
889,Central Washington University,2.5,2015
890,Chaffey College,2,2015
891,Chaminade University of Honolulu,2,2015
892,Charleston Southern,2,2015
893,Charlotte,2.3,2015
894,Chattanooga State Community College,2,2015
895,Chico State University,2,2015
896,Chipola College,3,2015
897,Chowan University,2,2015
898,Christopher Newport University,2,2015
899,Claflin University,2,2015
900,Clarendon College,2,2015
901,Clark Atlanta University,2,2015
902,Clark University,2,2015
903,Clayton State,2,2015
