,teamName,year,returningMins%,wins,totalGames,OE,DE,sos,adjTempo
3712,Idaho St.,2016,33.92,5.0,28,95.958976325639,109.75448633388,8.6171035714285,63.90581609713
3713,Idaho St.,2017,59.94,14.0,29,98.363032106857,107.89015175397,9.4697551724138,70.995251137044
3714,Idaho St.,2018,62.66,4.0,30,97.518060636005,114.26712394115,13.804493333333,70.290058095482
3715,Idaho St.,2019,59.12,12.0,28,104.11593921925,108.08754224059,11.273017857143,69.212291909248
3716,Idaho St.,2020,80.4760957933,9.0,28,103.93433902071,117.49818396951,11.494671428571,66.816188836228
3717,Idaho St.,2021,41.0717849577,6.0,28,100.74823867296,112.02771703185,12.012314285714,67.062949282917
3718,Idaho St.,2022,99.4398879785,8.0,19,92.622623666206,101.12908852115,10.6401,64.356634859656
3720,Baylor,2011,55.3710738954,27.0,35,119.42259048968,93.845421776703,35.751097142857,65.599056608021
3721,Baylor,2012,70.64,17.0,30,106.00612497579,96.909766200615,24.488676666667,66.469299854595
3722,Baylor,2013,51.42,29.0,37,115.34149107152,94.050905425424,32.501051351351,66.646240799936
3723,Baylor,2014,60.42,22.0,36,112.36432281814,95.260963518695,28.711416666667,67.618483172838
3724,Baylor,2015,46.88,24.0,36,119.16616206871,99.487306276949,32.989169444444,62.948565110165
3725,Baylor,2016,66.7,23.0,33,116.21095741726,92.699963753616,33.560906060606,62.055828393123
3726,Baylor,2017,56.04,21.0,33,119.23344862019,99.138264740552,36.342239393939,67.363980317931
3727,Baylor,2018,56.64,26.0,34,116.49529615139,93.910578820058,37.592167647059,65.074081191842
3728,Baylor,2019,33.08,18.0,33,110.5127879082,95.497929836344,34.911436363636,67.554737790277
3729,Baylor,2020,63.3999993592,20.0,34,115.35655981785,100.39849344764,34.085932352941,65.058103153103
3730,Baylor,2021,67.8335654993,26.0,30,114.4528958527,88.368101931693,31.03111,66.24406971367
3731,Baylor,2022,40.7918415579,28.0,30,125.05810521891,92.895738002935,32.78314,67.733441854277
3733,Colgate,2011,58.0200002184,10.0,29,97.100042214925,108.47350398016,10.318072413793,66.727903738993
3734,Colgate,2012,86.12,7.0,30,95.615129452992,110.42481691334,13.73573,67.763378584329
3735,Colgate,2013,57.74,8.0,30,96.929220022796,113.84060656498,13.703243333333,66.371339734884
3736,Colgate,2014,68.2,11.0,32,95.753654022583,104.47579175697,16.714528125,67.214747789689
3737,Colgate,2015,71.92,12.0,30,108.58752394973,108.43123595031,12.981156666667,64.243388316671
3738,Colgate,2016,28.28,15.0,32,105.56143614893,107.24541539125,12.15650625,61.178884792819
3739,Colgate,2017,71.46,12.0,29,102.36484117054,111.87400028455,11.176,65.656291742718
3740,Colgate,2018,90.42,9.0,31,97.248370572404,107.61439665117,12.873390322581,66.513705342688
3741,Colgate,2019,61.48,18.0,32,104.40604219954,107.82405459256,9.90475625,67.619928527387
3742,Colgate,2020,70.9832138734,23.0,34,110.24264374511,106.41238120652,12.892570588235,66.390648607792
3743,Colgate,2021,68.3653079804,24.0,33,106.14702914626,103.35530196762,10.274993939394,68.309499111551
3744,Colgate,2022,80.3839234585,14.0,16,110.42530357474,100.3816285383,8.33425,71.678809795368
3746,Oregon St.,2011,60.0479914193,14.0,32,98.708962279828,94.232791315292,25.140409375,62.602969414711
3747,Oregon St.,2012,66.72,11.0,31,101.90932529292,100.93835699183,25.719632258064,69.85388893951
3748,Oregon St.,2013,78.12,20.0,35,109.67324026899,99.639199353326,20.410197142857,71.454734276125
3749,Oregon St.,2014,71.04,14.0,32,109.03469244042,100.00436950056,25.586734375,68.818537326279
3750,Oregon St.,2015,31.34,16.0,32,113.22465122198,105.23060630434,25.627590625,67.33850629321
3751,Oregon St.,2016,92.02,16.0,30,98.349177703874,91.253418379514,24.729306666667,60.875548568754
3752,Oregon St.,2017,38.32,18.0,31,110.05942075834,98.102828543446,31.53545483871,67.958019317303
3753,Oregon St.,2018,90.04,4.0,31,96.057317094839,104.13166007122,24.458225806452,66.303593885125
3754,Oregon St.,2019,66.86,16.0,32,107.37903127987,100.89525774857,19.379890625,66.776947385198
3755,Oregon St.,2020,71.7799997186,18.0,31,111.40970737909,104.74643972845,19.547187096774,65.676249443917
3756,Oregon St.,2021,59.3067525118,18.0,31,110.52892839534,101.36318317775,23.121977419355,65.796534946559
3757,Oregon St.,2022,61.4354261548,19.0,32,111.10156573131,96.819946435189,36.6517,65.153964656494
3759,George Mason,2011,80.8999997825,17.0,32,101.97347675573,100.3063943538,16.662440625,65.981462701793
3760,George Mason,2012,53.68,27.0,34,111.24607421901,95.707216724322,18.273841176471,65.797416999449
3761,George Mason,2013,64.26,24.0,33,102.00397310103,96.901274562096,14.317160606061,67.910613182359
3762,George Mason,2014,89.52,22.0,38,102.42172636823,98.308203595829,14.173665789474,66.999307559724
3763,George Mason,2015,56.64,11.0,31,106.33352342756,102.40429871725,23.296393548387,66.934040498555
3764,George Mason,2016,60.84,8.0,30,101.34843595237,103.84459805427,23.063293333333,65.043105390514
3765,George Mason,2017,76.3,11.0,32,101.26043748975,102.93991826306,20.81699375,68.575330893228
3766,George Mason,2018,53.44,19.0,33,106.01763810511,103.65733654526,16.258184848485,69.959831061385
3767,George Mason,2019,99.94,16.0,33,101.38191857405,105.62256446679,15.222936363636,70.122544072286
3768,George Mason,2020,66.8866233493,18.0,33,103.78252276758,104.88696576158,17.106348484848,67.739595383104
3769,George Mason,2021,87.8478479019,17.0,32,101.0176660455,101.24260217325,17.217996875,66.898814407282
3770,George Mason,2022,31.973605429,12.0,21,101.36705027915,98.720939155593,16.933033333333,68.025234213942
3772,Utah,2011,44.2199996144,14.0,31,100.69852909538,96.297476949641,24.222551612903,66.608052503803
3773,Utah,2012,33.34,12.0,29,101.34934241343,99.073560497482,28.700634482759,69.039792358084
3774,Utah,2013,31.02,5.0,30,92.220615644578,103.88214002498,23.171846666667,62.011466301677
3775,Utah,2014,39.86,13.0,31,104.07640872422,97.106439000094,28.018196774194,62.240146166734
3776,Utah,2015,80.46,19.0,31,110.39539554152,96.240824701435,26.651387096774,65.306590441519
3777,Utah,2016,75.06,25.0,34,114.79966240423,88.715712512587,30.9121,61.360093347211
3778,Utah,2017,26.78,26.0,35,115.66635708623,97.253915413249,31.810851428571,66.890296562685
3779,Utah,2018,49.02,18.0,30,112.39954242795,98.772369105704,21.85917,69.734002766663
3780,Utah,2019,38.12,23.0,35,111.40702360693,97.884507286366,24.397171428571,67.082644905438
3781,Utah,2020,60.120120679,17.0,31,115.62899339377,107.95633057616,21.643548387097,66.112718390451
3782,Utah,2021,85.6914152726,16.0,31,106.07631684705,100.24996951448,27.476674193548,66.807401315771
3783,Utah,2022,27.2145565893,12.0,25,112.55175473353,97.531275553813,34.35844,67.347232885358
3785,Kansas St.,2011,61.8866418108,28.0,36,115.93105802963,90.524133667335,37.232636111111,70.454180608716
3786,Kansas St.,2012,61.06,22.0,33,111.38219158466,91.651441404766,32.064557575758,68.25156782562
3787,Kansas St.,2013,82.38,22.0,33,108.16231727624,91.610884927745,29.592548484848,67.384483775634
3788,Kansas St.,2014,49.04,26.0,34,113.35177530366,94.543541512267,30.698673529412,63.009230205359
3789,Kansas St.,2015,58.56,20.0,33,107.86726543279,92.93313170247,29.370503030303,64.832629106823
3790,Kansas St.,2016,29.84,15.0,32,104.65645683154,96.247817373103,35.39455,62.718653129052
3791,Kansas St.,2017,74.02,17.0,33,108.62552106888,93.852845781241,35.6303,67.620986274169
3792,Kansas St.,2018,58.54,21.0,35,112.27600247792,94.224170954222,36.236097142857,67.164557342568
3793,Kansas St.,2019,88.36,25.0,37,109.50916446304,93.643192263773,32.320021621622,66.453671008262
3794,Kansas St.,2020,52.4095175195,25.0,34,108.77600080282,88.973613098993,32.209155882353,63.416830643324
3795,Kansas St.,2021,37.682027221,11.0,32,102.29835454128,94.68039916008,32.050046875,66.980027227734
3796,Kansas St.,2022,67.6458834213,9.0,28,98.454845373756,96.805236720452,33.655025,65.588983602415
3798,California,2011,18.8999997293,24.0,35,119.42390630023,96.456336703808,30.965942857143,68.33933653699
3799,California,2012,80.0,18.0,33,109.63092912627,98.446757994204,30.904318181818,68.635095595029
3800,California,2013,66.06,24.0,34,109.03843807109,93.309880823057,23.024888235294,66.766321021748
3801,California,2014,64.76,21.0,33,105.43097294048,92.348660922824,30.367363636364,66.515436236631
3802,California,2015,57.34,21.0,35,110.93707212235,99.788309854591,28.442791428571,66.435919708597
3803,California,2016,68.26,18.0,33,102.64432870264,96.996886118567,27.296545454545,66.068729725924
3804,California,2017,58.12,23.0,34,112.37232170998,92.781524686852,27.846235294118,68.81247625002
3805,California,2018,16.9,21.0,34,103.40106905408,92.521606906662,24.898894117647,66.992797178681
3806,California,2019,47.08,8.0,31,97.074097318746,103.23718794378,22.596051612903,69.908001813498
3807,California,2020,56.8972406281,8.0,31,103.85346231033,108.01327242832,20.57834516129,66.47670040453
3808,California,2021,66.5466188981,14.0,32,101.63740825879,99.37513474516,26.4007875,65.013805450245
3809,California,2022,70.9858027254,8.0,28,104.18328100993,99.679035861442,34.171585714286,64.826456289958
3811,Long Beach St.,2011,72.094418908,15.0,31,99.786204415696,97.420413068937,23.502358064516,70.492104446855
3812,Long Beach St.,2012,71.18,20.0,32,104.98832359629,98.483820469792,20.416734375,69.813738494994
3813,Long Beach St.,2013,29.34,23.0,32,107.95710946684,95.274280269761,21.65234375,67.268275989237
3814,Long Beach St.,2014,37.94,17.0,31,102.68125480974,104.19052517628,20.748061290323,67.323267173888
3815,Long Beach St.,2015,58.88,13.0,30,103.83115716667,102.8234474649,21.620753333333,66.445764641995
3816,Long Beach St.,2016,28.84,14.0,31,101.53904775792,98.349924709658,28.056867741935,65.656569301863
3817,Long Beach St.,2017,53.58,18.0,33,108.05351580805,99.977625833699,26.038448484848,70.844699043255
3818,Long Beach St.,2018,37.08,13.0,32,104.25678603728,107.86237302695,20.799621875,71.093834763848
3819,Long Beach St.,2019,75.64,13.0,31,104.56897258187,107.56381113719,18.232812903226,73.110274582857
3820,Long Beach St.,2020,22.9491798975,13.0,32,100.96671296597,106.28317380749,14.987915625,71.472312492768
3821,Long Beach St.,2021,74.5494590766,9.0,30,94.302259998359,104.59728383336,18.305546666667,71.057061118288
3822,Long Beach St.,2022,55.5066951606,6.0,18,97.903536201271,103.82136707518,10.890466666667,73.658513130185
3824,Georgia,2011,66.2267548749,14.0,31,110.07515039086,99.435811644255,31.910183870968,65.228469656
3825,Georgia,2012,50.52,21.0,33,108.50716578296,94.701378638076,27.88743030303,64.630299813606
3826,Georgia,2013,67.48,15.0,32,102.95982212205,96.104171047766,30.3736625,62.594431449592
