teamName,year,prev_3s_recruits,prev_4s_recruits,prev_5s_recruits,curr_3s_recruits,curr_4s_recruits,curr_5s_recruits,seed_points,NIT,R64,R32,S16,E8,F4,F2,CHMP,returningMins%,sos,adjTempo,win ratio,overall efficiency,stars,label
Alabama St.,2020,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.795759149,0.128314828,-0.168834586,0.344827586,-1.489308873,-0.205466566,0
Alabama St.,2021,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.289089087,0.154188719,0.60290165,0.25,-1.446550891,-0.845030615,0
Albany,2013,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.623,0.103173912,-0.460982029,0.558823529,-0.300350022,-0.845030615,0
Albany,2014,0,0,0,0,0,0,0.105630515,0,1,0,0,0,0,0,0,0.5114,0.133294057,-1.356397267,0.685714286,0.21004168,-0.845030615,1
Albany,2015,0,0,0,0,0,0,-0.154472211,0,1,0,0,0,0,0,0,0.4052,0.124250029,-1.362843905,0.558823529,-0.031722438,-0.845030615,1
Albany,2016,0,0,0,0,0,0,0.365733241,0,1,0,0,0,0,0,0,0.6388,0.114018061,-1.964813705,0.727272727,0.21610047,-0.845030615,1
Albany,2017,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.4768,0.093868656,-0.062890743,0.71875,0.204305726,-0.845030615,0
Albany,2018,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.6708,0.134153,-0.630905762,0.588235294,0.278323347,0.114315458,0
Albany,2019,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.2006,0.085576774,-0.024947669,0.677419355,0.105132015,0.6579449,0
Albany,2020,0,0,0,1,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.775069917,0.088594613,-0.531596027,0.35483871,-0.724337274,1.297508949,0
Albany,2021,1,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.531212483,0.082708968,0.302712781,0.419354839,-0.797441125,1.073661532,0
Alcorn St.,2013,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.3232,0.081639786,0.229852266,0.25,-1.694561626,-0.845030615,0
Alcorn St.,2014,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.5004,0.153307875,0.049301005,0.28125,-1.33170027,0.114315458,0
Alcorn St.,2015,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.4562,0.098800929,-1.166086447,0.321428571,-1.413393037,-0.845030615,0
Alcorn St.,2016,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.5708,0.108000133,-0.183328762,0.166666667,-2.231854648,-0.205466566,0
Alcorn St.,2017,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.3738,0.086091964,-0.338186549,0.464285714,-1.244854178,-0.205466566,0
Alcorn St.,2018,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.595,0.103175276,0.455318927,0.517241379,-1.05980389,-0.845030615,0
Alcorn St.,2019,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.439,0.119437893,0.543765159,0.25,-1.684988298,-0.845030615,0
Alcorn St.,2020,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.614045614,0.107687815,-0.61302928,0.222222222,-1.948100726,-0.205466566,0
Alcorn St.,2021,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.349349353,0.098102269,0.753569375,0.423076923,-1.325507531,1.073661532,0
American,2013,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.4948,0.121812875,-1.486283329,0.625,0.133122476,0.53003209,0
American,2014,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.4632,0.1703254,-2.404475886,0.333333333,-0.904902246,0.6579449,0
American,2015,0,0,0,0,0,0,0.105630515,0,1,0,0,0,0,0,0,0.7928,0.148546455,-1.92553562,0.606060606,0.347547374,0.434097483,1
American,2016,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.497,0.119928636,-3.263054163,0.515151515,-0.321943375,-0.845030615,0
American,2017,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.61,0.107533419,-1.687322746,0.387096774,-1.30236306,0.114315458,0
American,2018,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.3202,0.1340023,-0.492533784,0.266666667,-1.073055456,-0.845030615,0
American,2019,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.8928,0.119553667,0.037502283,0.2,-1.22942044,0.114315458,0
American,2020,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.680472197,0.076264067,-0.335695996,0.5,-0.129758362,-0.845030615,0
American,2021,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.541616651,0.0790778,0.358360584,0.533333333,-0.198425883,-0.845030615,0
Appalachian St.,2013,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.4484,0.127430552,-0.368969616,0.379310345,-0.673257023,-0.205466566,0
Appalachian St.,2014,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.6984,0.107395379,0.157140189,0.448275862,-0.693348075,0.114315458,0
Appalachian St.,2015,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.666,0.115862538,-0.366735993,0.192307692,-1.56223317,-0.845030615,0
Appalachian St.,2016,0,0,0,1,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.8052,0.122052931,-0.549779617,0.413793103,-0.873716994,1.073661532,0
Appalachian St.,2017,1,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.5554,0.155346,1.184463114,0.290322581,-0.834648162,-0.205466566,0
Appalachian St.,2018,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.5966,0.157066857,1.307434097,0.25,-0.691761397,1.393443557,0
Appalachian St.,2019,0,0,0,0,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.7634,0.123725871,1.179553354,0.419354839,-0.313532861,-0.205466566,0
Appalachian St.,2020,0,0,0,2,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.617799998,0.161967207,1.200213088,0.275862069,-0.213379094,-0.205466566,0
Appalachian St.,2021,2,0,0,2,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.498700263,0.157235032,-0.097492541,0.516129032,-0.272821378,0.434097483,0
Arizona,2013,0,2,2,0,1,3,-0.414574936,1,0,0,0,0,0,0,0,0.479,0.224094114,-0.686083951,0.657142857,0.878764383,0.849814115,0
Arizona,2014,0,1,3,0,1,2,2.446555046,0,0,0,1,0,0,0,0,0.4426,0.283162571,-0.217603644,0.771428571,1.860482154,0.114315458,1
Arizona,2015,0,1,2,1,3,1,3.747068674,0,0,0,0,1,0,0,0,0.6486,0.303160474,-1.005834061,0.868421053,2.411221047,0.210250066,1
Arizona,2016,1,3,1,0,2,2,3.486965948,0,0,0,0,1,0,0,0,0.4028,0.279960368,-0.24844515,0.894736842,2.560708031,-0.205466566,1
Arizona,2017,0,2,2,1,1,2,2.446555046,0,1,0,0,0,0,0,0,0.4378,0.266086882,0.488250338,0.735294118,1.69799961,0.434097483,1
Arizona,2018,1,1,2,0,3,2,3.486965948,0,0,0,1,0,0,0,0,0.496,0.271637973,-0.137269847,0.864864865,1.851911355,0.753879508,1
Arizona,2019,0,3,2,0,3,0,2.966760497,0,1,0,0,0,0,0,0,0.2344,0.228547086,0.253125653,0.771428571,1.38558447,1.937072999,1
Arizona,2020,0,3,0,1,1,2,-0.414574936,1,0,0,0,0,0,0,0,0.412682536,0.237394906,-0.243338919,0.53125,0.53907202,2.896419072,0
Arizona,2021,1,1,2,1,5,0,2.18645232,0,0,1,0,0,0,0,0,0.198198199,0.263562812,0.567012675,0.65625,1.645536948,1.073661532,1
Arizona St.,2013,1,1,0,3,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.5508,0.209461968,-1.208857589,0.322580645,-0.424858074,-0.205466566,0
Arizona St.,2014,3,0,0,2,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.5266,0.246253743,-0.411100811,0.628571429,0.935908819,0.753879508,0
Arizona St.,2015,2,0,0,3,2,0,1.406144143,0,1,0,0,0,0,0,0,0.4146,0.279588091,0.559005274,0.636363636,1.165695708,-0.845030615,1
Arizona St.,2016,3,2,0,3,0,0,-0.414574936,1,0,0,0,0,0,0,0,0.5704,0.273795471,-0.389132817,0.529411765,0.890116239,0.849814115,0
Arizona St.,2017,3,0,0,1,3,0,-0.414574936,1,0,0,0,0,0,0,0,0.429,0.301444094,0.437702894,0.46875,0.686029275,-0.845030615,0
Arizona St.,2018,1,3,0,1,2,0,-0.414574936,1,0,0,0,0,0,0,0,0.5142,0.268636091,1.319915941,0.454545455,0.324577982,3.759830539,0
Arizona St.,2019,1,2,0,1,3,0,1.146041417,0,1,0,0,0,0,0,0,0.4864,0.233965688,1.644342086,0.625,1.149710507,0.6579449,1
